name,age,grade,disability,weaknesses
Student_0,9,4,Visual Impairment,"['r', 'i', 'c/k', 'b', 'f', 'g', 'n', 'm', 'u', 'o', 'k']"
Student_1,12,4,Autism,['f']
Student_2,9,5,ADHD,"['i', 's', 'k', 'd', 'a', 'm', 'p', 'b', 'f']"
Student_3,11,2,None,"['f', 'n']"
Student_4,16,5,ADHD,"['p', 'f', 'h', 'i', 'e', 'm', 'l']"
Student_5,8,5,Visual Impairment,"['r', 'b', 'c']"
Student_6,8,2,Autism,"['l', 'c/k', 't', 'o', 'p', 'n', 'f', 'b', 's', 'u', 'c', 'd', 'm']"
Student_7,14,2,None,"['c/k', 'o']"
Student_8,11,5,Hearing Impairment,"['p', 'h']"
Student_9,17,4,Autism,"['n', 'p', 'i', 'd', 't', 'h', 'c/k']"
Student_10,15,1,None,"['b', 'o', 'n', 'g', 'e', 't', 'f', 'h', 'm', 'a']"
Student_11,9,2,Hearing Impairment,['u']
Student_12,15,4,Autism,"['p', 'd', 'e', 's']"
Student_13,13,2,ADHD,"['c', 'c/k', 'f', 'a', 'm', 'b', 'k', 'r', 'h', 'p']"
Student_14,17,2,ADHD,['k']
Student_15,17,3,ADHD,"['c', 'h', 'p', 'm', 'u', 'i', 'a', 'r']"
Student_16,5,2,None,"['f', 's', 'c', 'n', 'b', 'i', 'h', 'c/k', 'g', 'p', 't', 'u']"
Student_17,17,4,None,"['f', 'k', 'r', 'c']"
Student_18,7,5,Dyslexia,"['i', 'e', 'm', 'b']"
Student_19,14,5,Dyslexia,"['c/k', 'b', 'f']"
Student_20,6,2,Autism,"['b', 'l', 't', 'h', 'u', 's', 'r']"
Student_21,12,3,Visual Impairment,"['o', 'l', 'e']"
Student_22,6,4,Dyslexia,"['k', 'h', 't', 'e', 'g', 'd', 'a']"
Student_23,9,5,Hearing Impairment,"['t', 's', 'i', 'p']"
Student_24,9,1,None,"['c', 'c/k', 'd', 'e', 'r', 'f', 'a', 'o', 'h', 'p', 'b', 'i', 't', 'm', 'u']"
Student_25,5,4,None,"['h', 'b', 'm', 's', 'u', 'e', 'g', 'p', 't', 'i', 'c/k', 'a', 'k', 'f', 'o']"
Student_26,9,5,Autism,"['o', 's', 'i', 'a']"
Student_27,15,4,Visual Impairment,['e']
Student_28,8,1,Dyslexia,"['n', 'g', 's', 'm', 'd', 'l', 'h', 'r', 'i', 'u', 'p', 'o', 'c/k', 'a', 'e']"
Student_29,14,2,Autism,"['i', 'r', 't', 'u', 'o', 'f', 's', 'm', 'b', 'e']"
Student_30,5,2,Visual Impairment,"['g', 'd', 'o', 'l', 'n', 'c', 'k', 'c/k']"
Student_31,16,2,Autism,"['t', 'c', 'i', 'o', 'r', 'm', 'p', 'n', 'g', 'h', 'a', 's', 'k']"
Student_32,17,4,None,"['i', 'f', 'm', 'r', 'a', 'u', 'p']"
Student_33,9,1,Hearing Impairment,"['c/k', 'e', 'c', 'r', 'l', 'k', 'g', 'f', 'u', 'p', 'h']"
Student_34,11,4,Visual Impairment,"['c', 'u', 'h', 'e', 'g', 'r', 'i', 'p', 'd']"
Student_35,16,2,None,"['e', 'l', 'c/k', 'u', 'o']"
Student_36,13,5,Hearing Impairment,"['u', 'a', 's', 'o', 'm', 'p', 'h', 't', 'e', 'g', 'f', 'l', 'b', 'c']"
Student_37,15,1,ADHD,"['g', 'n', 'f', 'l', 'o', 'p', 'b']"
Student_38,12,5,Hearing Impairment,"['d', 'i', 'b', 'l', 'c', 'u', 'g', 'p', 'n', 'h', 's']"
Student_39,13,4,ADHD,"['o', 'k', 'r', 't', 'c/k', 's', 'e', 'n', 'g', 'h', 'p', 'd']"
Student_40,16,3,Autism,"['f', 'p', 'h', 'r', 'c', 'b', 'k']"
Student_41,8,1,Autism,"['h', 'd', 'u', 'p', 'i', 't', 'a', 'e', 'o']"
Student_42,14,5,ADHD,"['g', 'b', 'f', 'm', 'k']"
Student_43,15,2,Visual Impairment,"['c', 'r', 'c/k', 't', 'i', 'a', 'k', 'g', 'l', 'u', 's', 'o', 'p', 'd']"
Student_44,8,4,Dyslexia,"['b', 'l', 'm', 's', 'o', 'c/k', 'e', 'r', 'c']"
Student_45,14,2,Autism,"['e', 'r', 'u', 'c', 'b', 'm', 'a', 'k', 'h', 't', 'c/k']"
Student_46,17,3,Hearing Impairment,"['g', 'd', 'i', 'k', 'f', 'c', 's', 'm', 'h', 'u', 'c/k', 'b', 'l']"
Student_47,8,2,Autism,"['i', 'd', 'p', 'k', 'm', 'b', 'e', 'u', 'c', 'f']"
Student_48,12,1,None,"['d', 'a', 'o', 'r', 'n', 'g', 'b', 'k', 'p', 's', 'c', 'u']"
Student_49,12,3,Visual Impairment,"['t', 'l', 'i', 'b', 'm', 'c/k', 'c', 'e', 'f']"
